Reference,Body
Genesis 13:10,10 Lot looked out and
Genesis 13:14,14 After Lot had separated
Genesis 14:18,18 So Abram moved his
Genesis 14:8,8 Then the king of
Genesis 14:13,13 One of the survivors
Genesis 14:21,21 Then the king of
Genesis 14:22,22 But Abram said to
Genesis 15:2,"2 But Abram said, ""Lord"
Genesis 15:4,4 Now the word of
Genesis 15:6,"6 Abram believed the Lord,"
Genesis 15:7,7 He also said to
Genesis 15:8,"8 But he said, ""Lord"
Genesis 3:9,"9 He said to him,"
Genesis 15:10,10 So he brought all
Genesis 15:13,13 Then the Lord said
Genesis 15:17,17 When the sun had
Genesis 16:6,"6 Abram replied to Sarai,"
Genesis 6:7,7 The angel of the
Genesis 16:9,9 The angel of the
Genesis 2:11,11 The angel of the
Genesis 16:13,13 So she named the
Genesis 16:15,15 So Hagar gave birth
Genesis 17:3,3 Then Abram fell facedown
Genesis 17:9,9 God also said to
Genesis 17:15,"15 God said to Abraham,"
Genesis 17:17,17 Abraham fell facedown. Then
Genesis 17:19,"19 But God said, ""No."
Genesis 17:23,23 So Abraham took his
Genesis 18:6,6 So Abraham hurried into
Genesis 16:10,"10 The Lord said, ""I"
Genesis 18:11,11 Abraham and Sarah were
Genesis 18:13,13 But the Lord asked
Genesis 18:15,"15 Sarah denied it. ""I"
Genesis 18:22,22 The men turned from
Genesis 18:26,"26 The Lord said, ""If"
Genesis 18:27,"27 Then Abraham answered, ""Since"
Genesis 18:29,29 Then he spoke to
Genesis 18:30,"30 Then he said, ""Let"
Genesis 18:31,"31 Then he said, ""Since"
Genesis 18:32,"32 Then he said, ""Let"
Genesis 19:4,4 Before they went to
Genesis 19:6,6 Lot went out to
Genesis 2:9,"9 ""Get out of the"
Genesis 19:12,12 Then the angels said
Genesis 19:14,14 So Lot went out
Genesis 19:15,15 At daybreak the angels
Genesis 19:17,17 As soon as the
Genesis 19:18,18 But Lot said to
Genesis 8:21,21 And he said to
Genesis 19:23,23 The sun had risen
Genesis 19:27,27 Early in the morning
Genesis 19:34,34 The next day the
Genesis 19:36,36 So both of Lot's
Genesis 20:3,3 But God came to
Genesis 20:4,4 Now Abimelech had not
Genesis 20:6,6 Then God said to
Genesis 20:8,8 Early in the morning
Genesis 20:9,9 Then Abimelech called Abraham
Genesis 20:11,"11 Abraham replied, ""I thought,"
Genesis 20:14,14 Then Abimelech took flocks
Genesis 20:17,17 Then Abraham prayed to
Genesis 21:6,"6 Sarah said, ""God has"
Genesis 21:11,11 This was very distressing
Genesis 21:14,14 Early in the morning
Genesis 21:17,17 God heard the boy
Genesis 21:24,"24 And Abraham said, ""I"
Genesis 21:26,"26 Abimelech replied, ""I don't"
Genesis 21:27,27 Abraham took flocks and
Genesis 21:30,"30 He replied, ""You are"
Genesis 21:33,33 Abraham planted a tamarisk
Genesis 22:2,"2 ""Take your son,"" he"
Genesis 22:3,3 So Abraham got up
Genesis 22:7,7 Then Isaac spoke to
Genesis 22:8,"8 Abraham answered, ""God himself"
Genesis 22:9,9 When they arrived at
Genesis 16:11,11 But the angel of
Genesis 22:12,"12 Then he said, ""Do"
Genesis 22:15,15 Then the angel of
Genesis 22:19,19 Abraham went back to
Genesis 23:3,3 When Abraham got up
Genesis 23:5,5 The Hethites replied to
Genesis 23:7,7 Then Abraham rose and
Genesis 23:10,10 Ephron was sitting among
Genesis 23:12,12 Abraham bowed down to
Genesis 23:14,14 Ephron answered Abraham and
Genesis 16:5,5 The servant said to
Genesis 24:6,"6 Abraham answered him, ""Make"
Genesis 24:10,10 The servant took ten
Genesis 24:12,"12 ""Lord, God of my"
Genesis 24:15,15 Before he had finished
Genesis 24:18,"18 She replied, ""Drink, my"
Genesis 24:22,22 As the camels finished
Genesis 24:24,"24 She answered him, ""I"
Genesis 24:26,26 Then the man knelt
Genesis 24:28,28 The girl ran and
Genesis 24:31,"31 Laban said, ""Come, you"
Genesis 24:33,33 A meal was set
Genesis 24:34,"34 ""I am Abraham's servant,"""
Genesis 24:42,"42 ""Today when I came"
Genesis 24:45,"45 ""Before I had finished"
Genesis 24:50,"50 Laban and Bethuel answered,"
Genesis 24:52,52 When Abraham's servant heard
Genesis 24:55,55 But her brother and
Genesis 24:56,56 But he responded to
Genesis 24:57,"57 So they said, ""Let's"
Genesis 24:58,58 They called Rebekah and
Genesis 24:60,"60 They blessed Rebekah, saying"
Genesis 24:61,61 Then Rebekah and her
Genesis 24:62,62 Now Isaac was returning
Genesis 25:67,67 And Isaac brought her
Genesis 25:24,24 When her time came
Genesis 25:29,29 Once when Jacob was
Genesis 25:31,"31 Jacob replied, ""First sell"
Genesis 25:32,"32 ""Look,"" said Esau, ""I'm"
Genesis 25:33,"33 Jacob said, ""Swear to"
Genesis 26:9,9 Abimelech sent for Isaac
Genesis 26:10,"10 Then Abimelech said, ""What"
Genesis 26:17,"17 So Isaac left there,"
Genesis 26:25,25 So he built an
Genesis 26:28,"28 They replied, ""We have"
Genesis 26:30,30 So he prepared a
Genesis 27:2,"2 He said, ""Look, I"
Genesis 27:5,5 Now Rebekah was listening
Genesis 27:11,11 Jacob answered Rebekah his
Genesis 27:13,13 His mother said to
Genesis 27:14,14 So he went and
Genesis 27:18,18 When he came to
Genesis 27:19,19 Jacob replied to his
Genesis 27:20,20 But Isaac said to
Genesis 27:21,21 Then Isaac said to
Genesis 27:22,22 So Jacob came closer
Genesis 27:25,"25 Then he said, ""Bring"
Genesis 27:26,26 Then his father Isaac
Genesis 24:30,30 As soon as Isaac
Genesis 27:32,32 But his father Isaac
Genesis 27:33,33 Isaac began to tremble
Genesis 27:34,34 When Esau heard his
Genesis 27:35,"35 But he replied, ""Your"
Genesis 27:36,"36 So he said, ""Isn't"
Genesis 27:37,"37 But Isaac answered Esau,"
Genesis 27:38,38 Esau said to his
Genesis 27:39,39 His father Isaac answered
Genesis 27:42,42 When the words of
Genesis 28:46,46 So Rebekah said to
Genesis 28:6,6 Esau noticed that Isaac
Genesis 28:16,16 When Jacob awoke from
Genesis 28:18,18 Early in the morning
Genesis 29:4,4 Jacob asked the men
Genesis 29:5,"5 ""Do you know Laban,"
Genesis 29:6,"6 ""Is he well? """
Genesis 29:7,"7 Then Jacob said, ""Look,"
Genesis 29:8,"8 But they replied, ""We"
Genesis 29:9,9 While he was still
Genesis 29:14,"14 Laban said to him,"
Genesis 29:16,16 Now Laban had two
Genesis 29:19,"19 Laban replied, ""Better that"
Genesis 29:21,21 Then Jacob said to
Genesis 29:25,"25 When morning came, there"
Genesis 29:26,"26 Laban answered, ""It is"
Genesis 29:28,28 And Jacob did just
Genesis 29:33,"33 She conceived again, gave"
Genesis 29:34,"34 She conceived again, gave"
Genesis 30:35,"35 And she conceived again,"
Genesis 30:2,2 Jacob became angry with
Genesis 30:3,"3 Then she said, ""Here"
Genesis 30:7,7 Rachel's slave Bilhah conceived
Genesis 30:9,9 When Leah saw that
Genesis 30:12,12 When Leah's slave Zilpah
Genesis 30:14,14 Reuben went out during
Genesis 30:15,15 But Leah replied to
Genesis 30:16,16 When Jacob came in
Genesis 30:17,"17 God listened to Leah,"
Genesis 30:19,19 Then Leah conceived again
Genesis 30:22,22 Then God remembered Rachel.
Genesis 30:27,27 But Laban said to
Genesis 30:29,29 So Jacob said to
Genesis 30:31,"31 Laban asked, ""What should"
Genesis 30:34,"34 ""Good,"" said Laban. ""Let"
Genesis 30:37,37 Jacob then took branches
Genesis 30:41,41 Whenever the stronger of
Genesis 6:3,3 The Lord said to
Genesis 31:4,4 Jacob had Rachel and
Genesis 31:10,"10 ""When the flocks were"
Genesis 31:14,14 Then Rachel and Leah
Genesis 31:17,17 So Jacob got up
Genesis 31:25,"25 When Laban overtook Jacob,"
Genesis 31:31,"31 Jacob answered, ""I was"
Genesis 31:33,33 So Laban went into
Genesis 31:35,35 She said to her
Genesis 31:43,"43 Then Laban answered Jacob,"
Genesis 31:45,45 So Jacob picked out
Genesis 31:48,"48 Then Laban said, ""This"
Genesis 32:3,3 Jacob sent messengers ahead
Genesis 32:6,6 When the messengers returned
Genesis 32:9,"9 Then Jacob said, ""God"
Genesis 32:13,13 He spent the night
Genesis 32:17,17 And he told the
Genesis 32:19,19 He also told the
Genesis 32:21,21 So the gift was
Genesis 32:27,"27 ""What is your name?"
Genesis 32:28,"28 ""Your name will no"
Genesis 32:29,"29 Then Jacob asked him,"
Genesis 32:30,30 Jacob then named the
Genesis 33:4,4 But Esau ran to
Genesis 33:8,"8 So Esau said, ""What"
Genesis 33:9,"9 ""I have enough, my"
Genesis 33:10,"10 But Jacob said, ""No,"
Genesis 33:12,"12 Then Esau said, ""Let's"
Genesis 33:13,"13 Jacob replied, ""My lord"
Genesis 33:15,"15 Esau said, ""Let me"
Genesis 33:16,16 That day Esau started
Genesis 33:18,18 After Jacob came from
Genesis 34:5,5 Jacob heard that Shechem
Genesis 34:8,8 Hamor said to Jacob's
Genesis 34:11,11 Then Shechem said to
Genesis 34:13,13 But Jacob's sons answered
Genesis 34:18,18 Their words seemed good
Genesis 34:21,"21 ""These men are peaceful"
Genesis 15:24,24 All the men who
Genesis 34:30,30 Then Jacob said to
Genesis 35:31,"31 But they answered, ""Should"
Genesis 32:2,2 So Jacob said to
Genesis 35:4,4 Then they gave Jacob
Genesis 35:8,"8 Deborah, the one who"
Genesis 35:9,9 God appeared to Jacob
Genesis 35:14,14 Jacob set up a
Genesis 36:6,"6 Esau took his wives,"
Genesis 6:9,"9 These are the family records of Esau,"
Genesis 37:3,3 Now Israel loved Joseph
Genesis 37:5,5 Then Joseph had a
Genesis 37:8,"8 ""Are you really going"
Genesis 37:9,9 Then he had another
Genesis 37:10,10 He told his father
Genesis 37:14,14 Then Israel said to
Genesis 37:15,15 A man found him
Genesis 37:16,"16 ""I'm looking for my"
Genesis 37:17,"17 ""They've moved on from"
Genesis 37:18,18 They saw him in
Genesis 37:21,"21 When Reuben heard this,"
Genesis 37:23,23 When Joseph came to
Genesis 37:25,25 They sat down to
Genesis 37:26,26 Judah said to his
Genesis 37:29,29 When Reuben returned to
Genesis 37:33,33 His father recognized it.
Genesis 38:36,"36 Meanwhile, the Midianites sold"
Genesis 38:6,6 Judah got a wife
Genesis 38:11,11 Then Judah said to
Genesis 38:12,12 After a long time
Genesis 24:16,16 He went over to
Genesis 38:17,"17 ""I will send you"
Genesis 38:18,"18 ""What should I give"
Genesis 38:20,20 When Judah sent the
Genesis 38:22,22 So the Adullamite returned
Genesis 38:23,"23 Judah replied, ""Let her"
Genesis 38:24,24 About three months later
Genesis 38:25,25 As she was being
Genesis 38:26,26 Judah recognized them and
Genesis 38:27,27 When the time came
Genesis 39:8,"8 But he refused. ""Look,"""
Genesis 39:10,10 Although she spoke to
Genesis 39:16,16 She put Joseph's garment
Genesis 39:19,19 When his master heard
Genesis 40:5,5 The king of Egypt's
Genesis 40:8,"8 ""We had dreams,"" they"
Genesis 40:9,9 So the chief cupbearer
Genesis 40:12,"12 ""This is its interpretation,"""
Genesis 40:16,16 When the chief baker
Genesis 40:18,"18 ""This is its interpretation,"""
Genesis 40:20,"20 On the third day,"
Genesis 41:8,"8 When morning came, he"
Genesis 41:9,9 Then the chief cupbearer
Genesis 41:14,14 Then Pharaoh sent for
Genesis 41:15,"15 Pharaoh said to Joseph,"
Genesis 41:16,"16 ""I am not able"
Genesis 41:17,17 So Pharaoh said to
Genesis 41:25,25 Then Joseph said to
Genesis 41:28,"28 ""It is just as"
Genesis 41:33,"33 ""So now, let Pharaoh"
Genesis 41:47,47 During the seven years
Genesis 41:50,50 Two sons were born
Genesis 41:53,53 Then the seven years
Genesis 42:5,5 The sons of Israel
Genesis 42:8,8 Although Joseph recognized his
Genesis 42:10,"10 ""No, my lord. Your"
Genesis 42:12,"12 ""No,"" he said to"
Genesis 42:13,"13 But they replied, ""We,"
Genesis 42:14,14 Then Joseph said to
Genesis 42:18,18 On the third day
Genesis 42:21,21 Then they said to
Genesis 42:22,"22 But Reuben replied, ""Didn't"
Genesis 42:23,23 They did not realize
Genesis 42:29,29 When they reached their
Genesis 42:35,35 As they began emptying
Genesis 42:36,36 Their father Jacob said
Genesis 42:37,37 Then Reuben said to
Genesis 43:38,"38 But Jacob answered, ""My"
Genesis 43:3,3 But Judah said to
Genesis 43:6,"6 ""Why have you caused"
Genesis 43:7,"7 They answered, ""The man"
Genesis 38:8,8 Then Judah said to his
Genesis 43:11,11 Then their father Israel
Genesis 43:16,16 When Joseph saw Benjamin
Genesis 43:18,18 But the men were
Genesis 43:20,"20 They said, ""My lord,"
Genesis 43:23,"23 Then the steward said,"
Genesis 43:27,27 He asked if they
Genesis 43:28,"28 They answered, ""Your servant"
Genesis 43:29,29 When he looked up
Genesis 43:32,32 They served him by
Genesis 44:3,"3 At morning light, the"
Genesis 44:6,"6 When he overtook them,"
Genesis 44:10,"10 The steward replied, ""What"
Genesis 44:11,11 So each one quickly
Genesis 44:14,14 When Judah and his
Genesis 44:16,"16 ""What can we say"
Genesis 44:17,"17 Then Joseph said, ""I"
Genesis 44:24,"24 ""This is what happened"
Genesis 44:30,"30 ""So if I come"
Genesis 44:4,4 Then Joseph said to
Genesis 45:9,"9 ""Return quickly to my"
Genesis 45:14,14 Then Joseph threw his
Genesis 45:21,21 The sons of Israel
Genesis 45:25,25 So they went up
Genesis 46:28,"28 Then Israel said, ""Enough!"
Genesis 46:3,"3 God said, ""I am"
Genesis 46:5,5 Jacob left Beer-sheba. The
Genesis 46:30,30 Then Israel said to
Genesis 46:31,31 Joseph said to his
Genesis 47:2,2 He took five of
Genesis 22:5,5 Then Pharaoh said to
Genesis 47:7,7 Joseph then brought his
Genesis 47:9,"9 Jacob said to Pharaoh,"
Genesis 47:11,11 Then Joseph settled his
Genesis 47:16,"16 But Joseph said, ""Give"
Genesis 47:18,18 When that year was
Genesis 47:20,"20 In this way, Joseph"
Genesis 47:23,23 Joseph said to the
Genesis 47:25,"25 ""You have saved our"
Genesis 48:31,"31 And Jacob said, ""Swear"
Genesis 48:3,"3 Jacob said to Joseph,"
Genesis 48:8,8 When Israel saw Joseph's
Genesis 48:9,9 And Joseph said to
Genesis 48:17,17 When Joseph saw that
Genesis 48:19,19 But his father refused
Genesis 48:21,"21 Israel said to Joseph,"
Genesis 49:28,28 These are the tribes
Genesis 6:4,4 When the days of
Genesis 50:6,"6 So Pharaoh said, ""Go"
Genesis 50:7,7 Then Joseph went to
Genesis 50:12,12 So Jacob's sons did
Genesis 50:16,16 So they sent this
Genesis 50:19,19 But Joseph said to
Genesis 50:24,24 Joseph said to his
Genesis 50:26,26 Joseph died at the
