Reference,Subhead,Match Status,X-Coord,Page,Even/Odd,Location
Genesis 23:24,Sarah's Burial,MATCH,"(28.346500396728516, 326.48089599609375, 82.73800659179688, 336.952880859375)",11,ODD,ERROR
Genesis 24:20,A Wife for Isaac,MATCH,"(209.91929626464844, 142.48089599609375, 268.7648010253906, 152.95289611816406)",11,ODD,ERROR
Genesis 25:67,Abraham's Other Wife and Sons,MATCH,"(198.58070373535156, 406.48089599609375, 315.3538513183594, 416.952880859375)",12,EVEN,ERROR
Genesis 25:6,Abraham's Death,MATCH,"(198.58070373535156, 510.48089599609375, 262.9427185058594, 520.952880859375)",12,EVEN,ERROR
Genesis 25:11,Ishmael's Family Records,MATCH,"(28.346500396728516, 22.48088836669922, 122.2459945678711, 32.95288848876953)",13,ODD,ERROR
Genesis 25:18,The Birth of Jacob and Esau,MATCH,"(28.346500396728516, 150.48089599609375, 131.47698974609375, 160.95289611816406)",13,ODD,ERROR
Genesis 25:26,Esau Sells His Birthright,MATCH,"(28.346500396728516, 350.48089599609375, 121.71048736572266, 360.952880859375)",13,ODD,ERROR
Genesis 26:34,The Promise Reaffirmed to Isaac,MATCH,"(28.346399307250977, 486.48089599609375, 149.07191467285156, 496.952880859375)",13,ODD,ERROR
Genesis 26:6,Isaac's Deception,MATCH,"(209.91929626464844, 54.48088836669922, 273.8138122558594, 64.95288848876953)",13,ODD,ERROR
Genesis 26:11,Conflicts over Wells,MATCH,"(209.91929626464844, 206.48089599609375, 287.77081298828125, 216.95289611816406)",13,ODD,ERROR
Genesis 26:22,The Lord Appears to Isaac,MATCH,"(209.91920471191406, 414.48089599609375, 305.9437561035156, 424.952880859375)",13,ODD,ERROR
Genesis 26:25,Covenant with Abimelech 26,COULD NOT MATCH,,,,ERROR
Genesis 26:33,Esau's Wives,MATCH,"(17.00790023803711, 94.48088836669922, 62.38090896606445, 104.95288848876953)",14,EVEN,ERROR
Genesis 27:35,The Stolen Blessing,MATCH,"(17.00790023803711, 142.48089599609375, 89.92939758300781, 152.95289611816406)",14,EVEN,ERROR
Genesis 27:40,Esau's Anger,MATCH,"(198.58070373535156, 510.48089599609375, 245.543212890625, 520.952880859375)",14,EVEN,ERROR
Genesis 28:46,Jacob's Departure,MATCH,"(28.346500396728516, 118.48088836669922, 95.64950561523438, 128.95289611816406)",15,ODD,ERROR
Genesis 28:9,Jacob at Bethel,MATCH,"(28.346399307250977, 310.48089599609375, 86.6904067993164, 320.952880859375)",15,ODD,ERROR
Genesis 29:22,Jacob Meets Rachel,MATCH,"(209.91929626464844, 22.48088836669922, 282.13531494140625, 32.95288848876953)",15,ODD,ERROR
Genesis 29:12,Jacob Deceived,MATCH,"(209.91929626464844, 294.48089599609375, 265.2372741699219, 304.952880859375)",15,ODD,ERROR
Genesis 29:30,Jacob's Sons,MATCH,"(17.00790023803711, 78.48088836669922, 61.488407135009766, 88.95288848876953)",16,EVEN,ERROR
Genesis 30:24,Jacob's Flocks Multiply,MATCH,"(198.58070373535156, 46.48088836669922, 286.2071838378906, 56.95288848876953)",16,EVEN,ERROR
Genesis 31:43,Jacob Separates from Laban,MATCH,"(198.58070373535156, 502.48089599609375, 303.6237487792969, 512.952880859375)",16,EVEN,ERROR
Genesis 31:21,Laban Overtakes Jacob,MATCH,"(28.346500396728516, 318.48089599609375, 114.08600616455078, 328.952880859375)",17,ODD,ERROR
Genesis 31:35,Jacob's Covenant with Laban,MATCH,"(209.91929626464844, 62.48088836669922, 318.03082275390625, 72.95288848876953)",17,ODD,ERROR
Genesis 32:55,Preparing to Meet Esau,MATCH,"(209.91920471191406, 494.48089599609375, 297.35028076171875, 504.952880859375)",17,ODD,ERROR
Genesis 32:23,Jacob Wrestles with God,MATCH,"(17.00790023803711, 406.48089599609375, 108.46790313720703, 416.952880859375)",18,EVEN,ERROR
Genesis 33:32,Jacob Meets Esau,MATCH,"(198.58070373535156, 22.48088836669922, 262.1436767578125, 32.95288848876953)",18,EVEN,ERROR
Genesis 34:20,Dinah Defiled,MATCH,"(198.58070373535156, 446.48089599609375, 250.3542022705078, 456.952880859375)",18,EVEN,ERROR
Genesis 35:31,Return to Bethel,MATCH,"(28.346500396728516, 478.48089599609375, 92.5215072631836, 488.952880859375)",19,ODD,ERROR
Genesis 35:15,Rachel's Death,MATCH,"(209.91929626464844, 214.48089599609375, 265.73876953125, 224.95289611816406)",19,ODD,ERROR
Genesis 35:20,Israel's Sons,MATCH,"(209.91929626464844, 310.48089599609375, 256.7117919921875, 320.952880859375)",19,ODD,ERROR
Genesis 35:26,Isaac's Death,MATCH,"(209.91929626464844, 454.48089599609375, 259.4913024902344, 464.952880859375)",19,ODD,ERROR
Genesis 36:29,Esau's Family,MATCH,"(209.91929626464844, 510.48089599609375, 259.40631103515625, 520.952880859375)",19,ODD,ERROR
Genesis 36:19,Seir's Family,MATCH,"(17.00790023803711, 438.48089599609375, 63.63040542602539, 448.952880859375)",20,EVEN,ERROR
Genesis 36:30,Rulers of Edom,MATCH,"(198.58070373535156, 126.48088836669922, 255.2161865234375, 136.95289611816406)",20,EVEN,ERROR
Genesis 37:43,Joseph's Dreams,MATCH,"(198.58070373535156, 430.48089599609375, 258.0382080078125, 440.952880859375)",20,EVEN,ERROR
Genesis 37:11,Joseph Sold into Slavery,MATCH,"(28.346500396728516, 142.48089599609375, 120.43550109863281, 152.95289611816406)",21,ODD,ERROR
Genesis 38:36,Judah and Tamar,MATCH,"(209.91929626464844, 78.48088836669922, 275.06329345703125, 88.95288848876953)",21,ODD,ERROR
Genesis 39:30,Joseph in Potiphar's House,MATCH,"(17.00790023803711, 198.48089599609375, 115.36990356445312, 208.95289611816406)",22,EVEN,ERROR
Genesis 39:20,Joseph in Prison,MATCH,"(198.58070373535156, 54.48088836669922, 258.2677001953125, 64.95288848876953)",22,EVEN,ERROR
Genesis 40:23,Joseph Interprets Two Prisoners' Dreams,MATCH,"(198.58070373535156, 134.48089599609375, 350.9688415527344, 144.95289611816406)",22,EVEN,ERROR
Genesis 41:23,Joseph Interprets Pharaoh's Dreams,MATCH,"(28.346500396728516, 22.48088836669922, 164.28701782226562, 32.95288848876953)",23,ODD,ERROR
Genesis 41:36,Joseph Exalted,MATCH,"(209.91929626464844, 150.48089599609375, 266.2232666015625, 160.95289611816406)",23,ODD,ERROR
Genesis 41:45,Joseph's Administration,MATCH,"(209.91929626464844, 334.48089599609375, 300.4528503417969, 344.952880859375)",23,ODD,ERROR
Genesis 42:57,Joseph's Brothers in Egypt,MATCH,"(17.00790023803711, 22.48088836669922, 114.48589324951172, 32.95288848876953)",24,EVEN,ERROR
Genesis 42:26,The Brothers Return Home,MATCH,"(17.00790023803711, 542.4808959960938, 116.61090087890625, 552.952880859375)",24,EVEN,ERROR
Genesis 43:38,Decision to Return to Egypt,MATCH,"(198.58070373535156, 278.48089599609375, 301.33721923828125, 288.952880859375)",24,EVEN,ERROR
Genesis 43:14,The Return to Egypt,MATCH,"(28.346500396728516, 22.48088836669922, 102.8064956665039, 32.95288848876953)",25,ODD,ERROR
Genesis 44:34,Joseph's Final Test,MATCH,"(28.346500396728516, 510.48089599609375, 97.0350112915039, 520.952880859375)",25,ODD,ERROR
Genesis 44:17,Judah's Plea for Benjamin,MATCH,"(209.91929626464844, 310.48089599609375, 307.4993896484375, 320.952880859375)",25,ODD,ERROR
Genesis 45:34,Joseph Reveals His Identity,MATCH,"(17.00790023803711, 70.48088836669922, 118.28539276123047, 80.95288848876953)",26,EVEN,ERROR
Genesis 45:15,The Return for Jacob,MATCH,"(17.00790023803711, 398.48089599609375, 95.4884033203125, 408.952880859375)",26,EVEN,ERROR
Genesis 46:28,Jacob Leaves for Egypt,MATCH,"(198.58070373535156, 110.48088836669922, 282.6966857910156, 120.95288848876953)",26,EVEN,ERROR
Genesis 46:7,Jacob's Family,MATCH,"(198.58070373535156, 278.48089599609375, 251.44219970703125, 288.952880859375)",26,EVEN,ERROR
Genesis 46:27,Jacob Arrives in Egypt,MATCH,"(28.346500396728516, 158.48089599609375, 110.85598754882812, 168.95289611816406)",27,ODD,ERROR
Genesis 47:34,Pharaoh Welcomes Jacob,MATCH,"(28.346500396728516, 334.48089599609375, 122.07600402832031, 344.952880859375)",27,ODD,ERROR
Genesis 47:12,The Land Becomes Pharaoh's,MATCH,"(209.91929626464844, 54.48088836669922, 315.7018737792969, 64.95288848876953)",27,ODD,ERROR
Genesis 47:26,Israel Settles in Goshen,MATCH,"(209.91929626464844, 462.48089599609375, 299.48388671875, 472.952880859375)",27,ODD,ERROR
Genesis 48:31,Jacob Blesses Ephraim and Manasseh,MATCH,"(17.00790023803711, 22.48088836669922, 154.8098907470703, 32.95288848876953)",28,EVEN,ERROR
Genesis 48:12,Ephraim's Greater Blessing,MATCH,"(17.00790023803711, 302.48089599609375, 118.2174072265625, 312.952880859375)",28,EVEN,ERROR
Genesis 49:22,Jacob's Last Words,MATCH,"(198.58070373535156, 70.48088836669922, 268.0257263183594, 80.95288848876953)",28,EVEN,ERROR
Genesis 49:28,Jacob's Burial Instructions,MATCH,"(28.346500396728516, 302.48089599609375, 130.86500549316406, 312.952880859375)",29,ODD,ERROR
Genesis 50:14,Joseph's Kindness,MATCH,"(209.91920471191406, 246.48089599609375, 274.70623779296875, 256.952880859375)",29,ODD,ERROR
Genesis 50:21,Joseph's Death,MATCH,"(209.91929626464844, 406.48089599609375, 264.1748046875, 416.952880859375)",29,ODD,ERROR
